id,title,clean_title,category,year,author,advisor,url,abstract_snippet
31,Analisis Sentimen Masyarakat Terhadap Masa Jabatan Kepala Desa Menggunakan Metode Bert dan Naïve Bayes Pada Media Sosial Twitter,analisis sentimen masyarakat terhadap masa jabatan kepala desa menggunakan metode bert dan na ve bayes pada media sosial twitter,Teknik Informatika,2023,Muhamad Falli Al Farisi,"Andika Setiawan, S.Kom., M.Cs.",https://repo.itera.ac.id/depan/submission/SB2309220042,"Wacana menambah masa jabatan kepala desa menjadi 9 tahun menuai pro dan kontra di masyarakat, termasuk di media sosial Twitter. Pendukung berpendapat masa jabatan yang lebih lama mendukung pembangunan, tapi ada juga yang khawatir akan meningkatkan risiko korupsi. Analisis sentimen adalah bagian dari..."
32,ANALISIS SENTIMEN PADA DATA TWITTER UNTUK KEBENCANAAN MENGGUNAKAN ALGORITMA SUPPORT VECTOR MACHINE (SVM),analisis sentimen pada data twitter untuk kebencanaan menggunakan algoritma support vector machine svm,Teknik Informatika,2025,ILHAM YOGA PRATAMA,"Hafiz Budi Firmansyah, S.Kom., M.Sc.",https://repo.itera.ac.id/depan/submission/SB2505210041,"Saat terjadi bencana, twitter menjadi salah satu media utama penyampaian informasi dan opini bagi masyarakat secara cepat. Namun, besarnya jumlah data yang diunggah menyebabkan informasi yang penting sering kali tenggelam di tengah banyaknya unggahan yang tidak relevan. Oleh karena itu penelitian in..."
33,ANALISIS SENTIMEN PADA TWITTER MENGENAI UNDANGUNDANG CIPTA KERJA OMNIBUS LAW MENGGUNAKAN MULTILAYER PERCEPTRON DENGAN EKSTRAKSI FITUR TF-IDF (TERM FREQUENCY AND INVERSE DOCUMENT FREQUENCY),analisis sentimen pada twitter mengenai undangundang cipta kerja omnibus law menggunakan multilayer perceptron dengan ekstraksi fitur tf idf term frequency and inverse document frequency,Teknik Informatika,2021,Muhammad Wahyudi,"Meida Cahyo Untoro, S.Kom.,M.Kom.",https://repo.itera.ac.id/depan/submission/SB2109060003,"Analisis sentimen terhadap media sosial terkhususnya Twitter mengenai polemik Undang-Undang ciptakerja Omnibus law merupakan sebuah proses untuk pengelompokan respon warganet terhadap permasalahan yang telah terjadi, sehingga penelitian ini dilakukan dengan tujuan untuk melakukan pengembangan an..."
34,ANALISIS SENTIMEN PADA ULASAN MAKANAN DI GOOGLE MAPS DI SEKITAR ITERA MENGGUNAKAN ALGORITMA MULTINOMIAL NAIVE BAYES,analisis sentimen pada ulasan makanan di google maps di sekitar itera menggunakan algoritma multinomial naive bayes,Teknik Informatika,2025,HERIDHO,"Meida Cahyo Untoro, S.Kom., M.Kom",https://repo.itera.ac.id/depan/submission/SB2506020036,"Ulasan pengguna pada platform Google Maps telah menjadi sumber informasi utama bagi konsumen dalam menilai kualitas makanan dan layanan tempat makan, namun pengelolaan feedback secara manual menjadi tidak efisien karena volume dan keragaman data yang besar. Penelitian ini bertujuan untuk mengukur ha..."
35,ANALISIS SENTIMEN PUBLIK TERHADAP CALON PRESIDEN REPUBLIK INDONESIA PADA PEMILU 2024 MENGGUNAKAN METODE IndoBERT,analisis sentimen publik terhadap calon presiden republik indonesia pada pemilu 2024 menggunakan metode indobert,Teknik Informatika,2024,Yose Alloisius Saragih,"Meida Cahyo Untoro S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2404260009,"Pemilihan umum (pemilu) yang diadakan setiap lima tahun adalah saat krusial yang menandai perwujudan dalam menegakkan prinsip demokrasi dalam tatanan politik di Indonesia. Dalam konteks demokrasi, popularitas partai politik dan figur politiknya memiliki peran yang tak terbantahkan. Meskipun memiliki..."
36,Analisis Sentimen Tentang Ulasan Toko Rikisparepart Di Tokopedia Menggunakan Metode K-Nearest Neighbor Berbasis PSO,analisis sentimen tentang ulasan toko rikisparepart di tokopedia menggunakan metode k nearest neighbor berbasis pso,Teknik Informatika,2024,Muhammad Naufal Ghani,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2409240043,"ABSTRAK Analisis Sentimen Tentang Ulasan Toko Rikisparepart Di Tokopedia Menggunakan Metode K-Nearest Neighbor Berbasis PSO Muhammad Naufal Ghani Marketplace Tokopedia terdapat banyak toko yang memiliki banyak ulasan dari positif, negatif maupun netral. Salah satu toko di Tokopedia bernama To..."
37,Analisis Sentimen Terhadap Kesetaraan Gender Menggunakan Algoritma Naive Bayes Berbasis Particle Swarm Optimization,analisis sentimen terhadap kesetaraan gender menggunakan algoritma naive bayes berbasis particle swarm optimization,Teknik Informatika,2024,Jaya Megelar Cakrawarty,"Ilham Firman Ashari S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2401220049,"Isu kesetaraan gender adalah perjuangan untuk memberikan hak yang sama kepada semua individu, independen dari identitas atau ekspresi gender mereka. Meskipun Indonesia telah berusaha meningkatkan kesadaran akan kesetaraan gender sejak 2000-an, pemahaman masyarakat tentang hal ini masih bervariasi. M..."
38,Analisis Sentimen Terhadap Peraturan Menteri Pendidikan dan Kebudayaan Menggunakan Support Vector Machine Berbasis Particle Swarm Optimization,analisis sentimen terhadap peraturan menteri pendidikan dan kebudayaan menggunakan support vector machine berbasis particle swarm optimization,Teknik Informatika,2022,Rutlima Sinaga,"Ilham Firman Ashari, S.Kom., M.T.",https://repo.itera.ac.id/depan/submission/SB2206070056,"Media sosial adalah sarana untuk berinteraksi antar pengguna dengan menciptakan konten informasi, membagikan dan menerimanya dengan media aplikasi berbasis internet. Media sosial digunakan untuk beriteraksi dari satu orang ke orang lain, begitu juga pemerintah. Interaksi dilakukan melalui fitur kome..."
39,Analisis Sentimen Terhadap Status Endemi COVID-19 Menggunakan KNN+,analisis sentimen terhadap status endemi covid 19 menggunakan knn,Teknik Informatika,2023,Ismi Zahra Rezkatiana,"Meida Cahyo Untoro, S.Kom., M.Kom.",https://repo.itera.ac.id/depan/submission/SB2301130044,"Pemberitaan yang beredar di media sosial terkait perubahan status pandemi COVID-19 menjadi endemi memuat banyak tanggapan dari masyarakat Indonesia. Adanya pemberitaan dan peraturan baru yang dibuat pemerintah Indonesia membuat masyarakat umum ingin mengungkapkan segala pendapat, aspirasi dan ..."
40,ANALISIS SENTIMEN ULASAN APLIKASI GETCONTACT MENGGUNAKAN RANDOM FOREST DENGAN EKSTRAKSI FITUR WORD2VEC,analisis sentimen ulasan aplikasi getcontact menggunakan random forest dengan ekstraksi fitur word2vec,Teknik Informatika,2025,FAUSTINE ELVARETTA TAMBILA,"Winda Yulita, M.Cs.",https://repo.itera.ac.id/depan/submission/SB2502130060,"Kemajuan teknologi di era digital membawa dampak positif dan negatif, terutama dalam perlindungan data pribadi. Ancaman seperti panggilan spam dan phishing melalui SMS berpotensi mengganggu dan menyebabkan kerugian finansial. Untuk mengatasi masalah ini, Getverify LDA, perusahaan teknologi di Lisbon..."
