id,title,clean_title,category,year,author,abstract_snippet,cluster
568,Perhitungan luas sawah dan waktu panen padi dengan metode otsu berbasis pengolahan citra digital,perhitungan luas sawah dan waktu panen padi dengan metode otsu berbasis pengolahan citra digital,Teknik Informatika,2021,Tio Fazri Fahmi Saputra,Provisnsi Lampung merupakan salah satu provinsi dengan luas lahan baku sawah terluas di pulau Sumatera. Berdasarakan surat keputusan Kementrian Agraria Kepala Badan Pertahanan Nasional pada tahun 2019 luas baku sawah di provinsi Lampung tercatat seluas 361.698 hektare. Namun sebagian lahan Lampung j...,6
577,PREDIKSI TINGKAT KEPARAHAN PENYAKIT BLACK SIGATOKA PADA TANAMAN PISANG MENGGUNAKAN METODE LSTM (LONG SHORT-TERM MEMORY) DI PT GREAT GIANT PINEAPPLE,prediksi tingkat keparahan penyakit black sigatoka pada tanaman pisang menggunakan metode lstm long short term memory di pt great giant pineapple,Teknik Informatika,2024,ALFIAN KAFILAH BA`ITS,"Pertanian menjadi bagian dari sektor perekonomian yang berhubungan dengan produksi tanaman untuk tujuan pangan, pakan, bahan industri ataupun untuk keperluan lainnya. Sektor pertanian yang memiliki peran signifikan dalam skala global adalah pisang. Akan tetapi, seringkali terjadi serangan penyakit y...",6
580,PURWARUPA SISTEM PENYEMPROTAN PESTISIDA OTOMATIS BERBASIS IOT DAN FUZZY SUGENO (Studi Kasus: Tanaman Buah Jeruk Kebun Buah ITERA,purwarupa sistem penyemprotan pestisida otomatis berbasis iot dan fuzzy sugeno studi kasus tanaman buah jeruk kebun buah itera,Teknik Informatika,2025,M. Herton Amarta Buana,"Revolusi industri pertanian pada abad ke-18 dan ke-19 mengubah produksi pertanian dengan pengenalan mesin, teknik pertanian efisien, dan pemupukan kimia. Pada abad ke-20, pemupukan kimia dan pestisida meningkatkan hasil pertanian, meski menyebabkan ketergantungan pada pestisida. Penggunaan alat mode...",6
583,PURWARUPA PENYIRAMAN OTOMATIS DENGAN ARSITEKTUR MQTT DAN LOGIKA FUZZY SUGENO UNTUK MENINGKATKAN KEEFEKTIFAN MANAJEMEN PENYIRAMAN TANAMAN (STUDI KASUS : ITERA),purwarupa penyiraman otomatis dengan arsitektur mqtt dan logika fuzzy sugeno untuk meningkatkan keefektifan manajemen penyiraman tanaman studi kasus itera,Teknik Informatika,2020,Muhamad Arwin Wijaya,"ITERA merupakan kampus dengan slogan smart, friendly and forest campus. Kampus hijau (forest campus) dapat diwujudkan dengan melakukan penyiraman secara rutin pada tanaman. Ketika penyiraman tanaman tersebut tidak mencukupi maka tanaman akan layu dan mati, namun air yang berlebihan juga menyebabkan ...",6
594,RANCANG BANGUN APLIKASI B2B PADA RANTAI DISTRIBUSI PEMBELIAN KOPI DARI MITRA PETANI (STUDI KASUS : Setara Commodity),rancang bangun aplikasi b2b pada rantai distribusi pembelian kopi dari mitra petani studi kasus setara commodity,Teknik Informatika,2025,Richard Arya Winarta,"Indonesia adalah salah satu produsen kopi terbesar di dunia, namun kualitas kopi ekspor seringkali dinilai rendah akibat metode pengolahan pasca panen yang kurang optimal. Setara Commodity, sebuah unit bisnis dari Koperasi Jasa Multi Pihak Serikat Talenta Karya di Lampung, berupaya meningkatkan kese...",6
595,Rancang Bangun Aplikasi B2B Pada Rantai Distribusi Penjualan Kopi Ke Mitra Bisnis (Studi Kasus : Setara Commodity),rancang bangun aplikasi b2b pada rantai distribusi penjualan kopi ke mitra bisnis studi kasus setara commodity,Teknik Informatika,2025,David Gunawan,"Lampung, sebagai provinsi penghasil kopi terbesar kedua di Indonesia, memiliki peran penting dalam perdagangan kopi. Namun, proses distribusi kopi yang kompleks sering kali menghadapi tantangan seperti isolasi informasi dan manajemen stok yang kurang efisien, yang dapat menghambat kemampuan perusaha...",6
619,RANCANG BANGUN PURWARUPA IoT DALAM MONITORING SUMBER DAYA AIR UNTUK PENGAIRAN LABIRIN KEBUN RAYA ITERA MENGGUNAKAN FUZZY LOGIC MAMDANI,rancang bangun purwarupa iot dalam monitoring sumber daya air untuk pengairan labirin kebun raya itera menggunakan fuzzy logic mamdani,Teknik Informatika,2024,EZRA KORNEL ARTHUR NAIBAHO,"Dengan kepopuleran Labirn Kebun Raya ITERA di Provinsi Lampung, tanaman pada labirin mempunyai permasalahan dalam pengelolaan pengairan di labirin dalam pengairan yang terstruktur, Penelitian ini bertujuan untuk merancang dan membangun sebuah purwarupa sistem berbasis Internet of Things (IoT) yang ...",6
719,Rancang Bangun Subsistem Rumah Pemupukan dan Kendali Robot Berbasis website (Studi Kasus: Greenhouse Kebun Raya ITERA),rancang bangun subsistem rumah pemupukan dan kendali robot berbasis website studi kasus greenhouse kebun raya itera,Teknik Informatika,2026,Cornelius Linux,"Penerapan teknologi Agriculture 4.0 melalui konsep Smart Farming menjadi strategi krusial untuk meningkatkan efisiensi operasional pertanian di Institut Teknologi Sumatera (ITERA). Namun, pengelolaan Greenhouse Kebun Raya ITERA masih menghadapi kendala, terutama pada pencatatan formulasi nutrisi yan...",6
744,SISTEM KLASIFIKASI TAHU PUTIH MURNI DAN TAHU PUTIH YANG MENGANDUNG FORMALIN DENGAN SENSOR GROVE-HCHO DAN SENSOR TCS 3200 MENGGUNAKAN METODE NAÏVE BAYES,sistem klasifikasi tahu putih murni dan tahu putih yang mengandung formalin dengan sensor grove hcho dan sensor tcs 3200 menggunakan metode na ve bayes,Teknik Informatika,2023,Satrio Kunto Birowo,"Tahu merupakan makanan yang popular di wilayah ASEAN, Tahu memiliki ekstrak protein yang tinggi, sedikit karbohidrat sehingga memiliki nilai gizi yang baik menjadikan tahu sebagai sumber protein favorit dibandingkan sumber protein lain. Namun, di Indonesia beredar tahu yang mengandung formalin didal...",6
745,Sistem Kontrol Kesuburan Tanaman Hidroponik Otomatis menggunakan Artificial Neural Network,sistem kontrol kesuburan tanaman hidroponik otomatis menggunakan artificial neural network,Teknik Informatika,2021,Reza Octaviany,"Pandemi Covid-19 menyebabkan banyak masyarakat tidak dapat keluar rumah, sehingga mencari aktivitas lain agar hari tidak membosankan, salah satu kegiatan alternatif adalah berkebun hidroponik, karena kebun hidroponik tidak membutuhkan lahan yang luas. Namun, masyarakat menemukan beberapa masalah pad...",6
